step,compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L0_0,__PARA__L0_1,__PARA__L0_1_0,__PARA__L0_2,__PARA__L0_2_0,__PARA__L0_3,__PARA__L0_3_0,__PIPE__L0,__PIPE__L0_1,__PIPE__L0_2,__PIPE__L0_3,__TILE__L0,__TILE__L0_1,__TILE__L0_2,__TILE__L0_3,pragma1,pragma2,pragma3,pragma4,pragma5,pragma6,pragma7,pragma8,pragma9,pragma10,pragma11,pragma12,pragma13,pragma14,pragma15,pragma16
0,03min 17sec,573445 (2.294ms),26638 (2%),23796 (1%),216 (5%),28 (~0%),0 (~0%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1,03min 17sec,623205 (2.493ms),29831 (2%),26290 (1%),280 (6%),28 (~0%),0 (~0%),1.0,1.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2,03min 04sec,573445 (2.294ms),26638 (2%),23796 (1%),216 (5%),28 (~0%),0 (~0%),40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
3,03min 25sec,570125 (2.28ms),57198 (4%),42520 (1%),184 (4%),28 (~0%),0 (~0%),40.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
4,03min 09sec,596685 (2.387ms),28954 (2%),25318 (1%),280 (6%),28 (~0%),0 (~0%),40.0,80.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
5,03min 08sec,596685 (2.387ms),28954 (2%),25318 (1%),280 (6%),28 (~0%),0 (~0%),40.0,80.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
6,03min 09sec,596685 (2.387ms),28954 (2%),25318 (1%),280 (6%),28 (~0%),0 (~0%),40.0,80.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
7,03min 09sec,596685 (2.387ms),28954 (2%),25318 (1%),280 (6%),28 (~0%),0 (~0%),40.0,80.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
8,03min 08sec,596685 (2.387ms),28954 (2%),25318 (1%),280 (6%),28 (~0%),0 (~0%),40.0,80.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
9,03min 07sec,596685 (2.387ms),28954 (2%),25318 (1%),280 (6%),28 (~0%),0 (~0%),40.0,80.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
