step,compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PIPE__L0,__PIPE__L1,__PIPE__L2,__TILE__L0,__TILE__L1,__TILE__L2
37,04min 50sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
38,12min 21sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40.0,1.0,1,22.0,1.0,off,off,off,1.0,1.0,1.0
39,04min 42sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
40,04min 55sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
41,05min 04sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
42,13min 04sec,948924 (3.796ms),129737 (10%),94072 (3%),220 (5%),440 (6%),0 (~0%),40.0,1.0,1,22.0,1.0,off,off,off,1.0,1.0,1.0
43,05min 04sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
44,05min 05sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
45,05min 05sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
46,04min 58sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
47,05min 00sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
48,05min 04sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
49,05min 00sec,963004 (3.852ms),69050 (5%),52538 (2%),156 (3%),220 (3%),0 (~0%),40.0,1.0,1,11.0,1.0,off,off,off,1.0,1.0,1.0
